;meta[language=en]
; id      |key(hex)|key(str)| text
   1087906|041c9049||Undvik Armor
   1086354|942892ef||Heavy gear. Increases Armor and decreases Stamina regeneration.
   1087908|6b092313||Undvik Gauntlets
   1087909|7b17199b||Undvik Trousers
   1087907|465b2ff3||Undvik Boots
   1087912|5a93ac8b||Undvik Saddlebags
   1082351|474bf324||Saddlebags allow you to carry more weight.
   1087910|ebd5f386||Undvik Horse Blinders
   1082358|1f2ac3de||A horse equipped with blinders won't panic as easily.
   1087911|5bd936a0||Undvik Saddle
   1082359|fc5e14ab||A horse equipped with a saddle won't tire as easily.
   1138187|0396b9e1||Skellige Armor Set
   1138210|0011022f||Enhanced for the frigid climate of the Skellige Archipelago, this set includes a jacket, gloves, pants, boots and horse tack.
