;meta[language=en]
; id      |key(hex)|key(str)| text
    543163|00300c66||Yontek
    546438|00000000||Just three of us?! Our whole village, murdered, 'cause o' him!
    528922|00000000||You'd still be swine if not for me.
    529060|00000000||If not for me, you'd still be a pig. On a spit by now, most likely.
   1017694|00000000||Yontek brought me here. Lucky to have him among you.
   1017689|00000000||You got lucky.
   1017688|00000000||Didn't do it alone.
   1017693|00000000||Thank Yontek. He helped me a lot.
   1015686|00000000||First one to raise a hand against Yontek loses it.
   1015687|00000000||Now, now, we was just…
   1021033|00000000||Freak's likely to gut us - let's go from here, quick.
   1015688|00000000||Ooh, thanks!
   1015689|00000000||Probably shouldn't go back to the village, could end badly for you. Need to find another place for yourself.
   1017022|00000000||Uhh… Right. Whatever that means. Godspeed now.
   1005690|00000000||Won't let you hurt him.
   1016973|00000000||Oh, aye… Not all survived, though - can't give you much. Here - some coin.
   1017031|00000000||Time to go back. Got us a guilty man to hang…
   1017033|00000000||But naaay!
   1016972|00000000||Oh, aye… Good work, witcher, gotta say. Here's your coin.
   1015690|00000000||This… is no longer my concern.
   1015691|00000000||Good thing, too. Let's take 'im to the village. Make him pay for what he's done.
   1015692|00000000||Yeah. Speaking of pay…
   1005691|00000000||Helped enough. Not my concern anymore.
   1007372|00000000||But it were Yontek brought us the key!
   1021010|00000000||Must've known the gold was cursed! He didn't wanna go with us!
    529042|00000000||But… I didn't… 'Twas Igor! Igor wanted…
   1015683|00000000||Won't get out of this, dung breath! Get 'im!
   1017013|00000000||Help me.
    529029|00000000||Saved as many of you as I could.
    528921|00000000||Did what I could…
    528934|00000000||Not many of us left.
    528935|00000000||Tis his fault!
    528937|00000000||We're almost all of us.
   1017691|00000000||Thank ye, White One.
    546436|00000000||We's all here! Well… 'cept for Yagoda.
    528923|00000000||I'm meself again. Thank ye.
    543625|00000000||Too early for joy. We need a headcount… o' human heads.
   1015679|00000000||What'd you do?! There's just Igor!
   1015680|00000000||Where's the others…?
   1015681|00000000||Did what I could.
   1015682|00000000||Ain't no folk, all's lost! Let's go!
   1016927|00000000||Back to the village?
   1016929|00000000||Ain't no village! Ain't no us! C'mon, Igor!
    533343|00000000||It's done! We can go.
   1016635|00000000||Done scurried off! Get 'em!
   1016636|00000000||Hey, who, whoa whoa whoa whoa! They's a-fleein'!
   1016634|00000000||They's a-fleein'! Chase 'em!
   1016678|00000000||That's the way! They''s followin' us.
   1016677|00000000||We's got 'em. We can go.
   1016676|00000000||Gurt! Lead on!
    172329|52a3f146||Peasant
    313590|acc55a20||Bandit
   1005597|00000000||Medallion's vibrating. Pig must be from the village, too.
   1005599|00000000||Hrr hrr hrr hrr!
   1005605|00000000||Wait, that sounded like… You understand me?
   1005607|00000000||Hrr!
   1016958|00000000||All right, let's try this. One oink for yes, two for no. Got it?
   1016960|00000000||Hrr!
    526619|00000000||Think I know what happened…
    543603|00000000||We're in a temple, and there was a tub full of gold here. Yontek found the key, showed it to the villagers, and they got greedy…
    550156|00000000||Thing is, no one realized the gold might be protected by a curse.
    543606|00000000||Hrrr… hr hr hrw…
    543607|00000000||To lift it, we gotta bring back the gold. I should ask Yontek, maybe he knows where it is…
    526620|00000000||Hrr rwee rwee!
    532071|00000000||Think I understand what happened.
    526615|00000000||Is this a temple?
    526724|00000000||We in a temple?
    526725|00000000||Hrrooo…
