;meta[language=en]
; id      |key(hex)|key(str)| text
   1087896|fb01ddf1||Nilfgaardian Armor
   1086353|320650a7||Medium-weight gear. Increases Armor.
   1087898|61ee70bb||Nilfgaardian Gauntlets
   1087899|40fd76f3||Nilfgaardian Trousers
   1087897|08761458||Nilfgaardian Boots
   1087902|9d49e633||Nilfgaardian Saddlebags
   1082351|474bf324||Saddlebags allow you to carry more weight.
   1087900|be9e772e||Nilfgaardian Horse Blinders
   1082358|1f2ac3de||A horse equipped with blinders won't panic as easily.
   1087901|52be8448||Nilfgaardian Saddle
   1082359|fc5e14ab||A horse equipped with a saddle won't tire as easily.
   1138193|93fb4939||Nilfgaardian Armor Set
   1138201|a95849d7||Crafted from the finest materials available, the Nilfgaardian Armor Set includes a jacket, gloves, pants, boots and horse tack.
